key.ref_cf[10600],transition,username,update.worklog,update.comment,field.assignee.name,worklog.startdate
1-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Analista SOA,10/10/2014
1-2014,RESOLVED,Analista SOA,80,Atividade finalizada.,,10/23/2014
1-2014,LANCAR_HORAS,alexandre.junio,8,Demanda disponível para homologação.,,10/23/2014
1-2014,CLOSED,sergio.correia.ms,,Demanda ok.,,10/23/2014
2-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Arquiteto SOA,10/10/2014
2-2014,RESOLVED,Arquiteto SOA,40,Demanda concluída.,,10/16/2014
2-2014,LANCAR_HORAS,alexandre.junio,4,Demanda disponível para homologação.,,10/16/2014
2-2014,CLOSED,sergio.correia.ms,,Demanda validada.,,10/16/2014
3-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Arquiteto SOA 1,10/10/2014
3-2014,LANCAR_HORAS,Arquiteto SOA 1,48,Lançando horas da atividade.,,10/17/2014
3-2014,RESOLVED,Arquiteto SOA 2,48,Atividade concluída.,,10/17/2014
3-2014,LANCAR_HORAS,alexandre.junio,10,Demanda disponível para homologação.,,10/17/2014
3-2014,CLOSED,julioc.araujo.ms,,Verificado.,,10/17/2014
4-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Analista SOA 1,10/10/2014
4-2014,LANCAR_HORAS,Analista SOA 1,96,Lançando horas da atividade.,,10/27/2014
4-2014,RESOLVED,Analista SOA 2,96,Demanda concluída.,,10/27/2014
4-2014,LANCAR_HORAS,alexandre.junio,10,Demanda disponível para homologação.,,10/27/2014
4-2014,CLOSED,sergio.correia.ms,,Homologação ok.,,10/27/2014
5-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Administrador de Infraestrutura Oracle SOA 1,10/10/2014
5-2014,LANCAR_HORAS,Administrador de Infraestrutura Oracle SOA 1,232,Lançando horas da atividade.,,11/7/2014
5-2014,LANCAR_HORAS,Especialista em Segurança SOA,232,Lançando horas da atividade.,,11/7/2014
5-2014,RESOLVED,Administrador de Infraestrutura Oracle SOA 2,232,Atividade finalizada.,,11/7/2014
5-2014,LANCAR_HORAS,alexandre.junio,93,Demanda disponível para homologação.,,11/7/2014
5-2014,CLOSED,julioc.araujo.ms,,Demanda validada.,,11/7/2014
6-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Celia,10/10/2014
6-2014,LANCAR_HORAS,Celia,168,Lançando horas da atividade.,,11/7/2014
6-2014,LANCAR_HORAS,Rodrigo,168,Lançando horas da atividade.,,11/7/2014
6-2014,LANCAR_HORAS,Cleber,168,Lançando horas da atividade.,,11/7/2014
6-2014,RESOLVED,Raphael,168,Demanda concluída.,,11/7/2014
6-2014,LANCAR_HORAS,alexandre.junio,68,Demanda disponível para homologação.,,11/7/2014
6-2014,CLOSED,julioc.araujo.ms,,Ok.,,11/7/2014
7-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Arquiteto SOA,11/11/2014
7-2014,RESOLVED,Arquiteto SOA,48,Atividade concluída.,,11/17/2014
7-2014,LANCAR_HORAS,alexandre.junio,5,Demanda disponível para homologação.,,11/17/2014
7-2014,CLOSED,julioc.araujo.ms,,Demanda verificada.,,11/17/2014
8-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Arquiteto SOA 1,10/20/2014
8-2014,LANCAR_HORAS,Arquiteto SOA 1,40,Lançando horas da atividade.,,10/25/2014
8-2014,RESOLVED,Arquiteto SOA,40,Atividade finalizada.,,10/25/2014
8-2014,LANCAR_HORAS,alexandre.junio,8,Demanda disponível para homologação.,,10/25/2014
8-2014,CLOSED,sergio.correia.ms,,Tudo certo.,,10/25/2014
9-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Analista SOA,10/10/2014
9-2014,RESOLVED,Analista SOA,16,Demanda concluída.,,10/12/2014
9-2014,LANCAR_HORAS,alexandre.junio,2,Demanda disponível para homologação.,,10/12/2014
